code,section,book,title,chapter,part,addtitional,detail,section_sort
พระราชบัญญัติจราจรทางบก พ.ศ. 2522,มาตรา 1,-,-,-,-,-,พระราชบัญญัตินี้เรียกว่า “พระราชบัญญัติจราจรทางบก พ.ศ. 2522”,1
พระราชบัญญัติจราจรทางบก พ.ศ. 2522,มาตรา 2,-,-,-,-,-,พระราชบัญญัตินี้ให้ใช้บังคับเมื่อพ้นกำหนดเก้าสิบวันนับแต่วันประกาศในราชกิจจานุเบกษาเป็นต้นไป,2
พระราชบัญญัติจราจรทางบก พ.ศ. 2522,มาตรา 3,-,-,-,-,-,"ให้ยกเลิก

(1) พระราชบัญญัติจราจรทางบก พุทธศักราช 2477

(2) พระราชบัญญัติจราจรทางบก แก้ไขเพิ่มเติม พุทธศักราช 2478

(3) พระราชบัญญัติจราจรทางบก (ฉบับที่ 3) พุทธศักราช 2481

(4) พระราชบัญญัติจราจรทางบก (ฉบับที่ 4) พ.ศ. 2508

(5) ประกาศของคณะปฏิวัติ ฉบับที่ 59 ลงวันที่ 26 มกราคม พ.ศ. 2515",3
พระราชบัญญัติจราจรทางบก พ.ศ. 2522,มาตรา 4,-,-,-,-,-,"ในพระราชบัญญัตินี้

(1) “การจราจร” หมายความว่า การใช้ทางของผู้ขับขี่ คนเดินเท้า หรือคนที่จูง ขี่ หรือไล่ต้อนสัตว์

(2) “ทาง” หมายความว่า ทางเดินรถ ช่องเดินรถ ช่องเดินรถประจำทาง ไหล่ทาง ทางเท้า ทางข้าม ทางร่วมทางแยก ทางลาด ทางโค้ง สะพาน และลานที่ประชาชนใช้ในการจราจร และให้หมายความรวมถึงทางส่วนบุคคลที่เจ้าของยินยอมให้ประชาชนใช้ในการจราจรหรือที่หัวหน้าเจ้าพนักงานจราจร*ได้ประกาศให้เป็นทางตามพระราชบัญญัตินี้ด้วย แต่ไม่รวมไปถึงทางรถไฟ

(3) “ทางเดินรถ” หมายความว่า พื้นที่ที่ทำไว้สำหรับการเดินรถไม่ว่าในระดับพื้นดิน ใต้หรือเหนือพื้นดิน

(4) “ช่องเดินรถ” หมายความว่า ทางเดินรถที่จัดแบ่งเป็นช่องสำหรับการเดินรถ โดยทำเครื่องหมายเป็นเส้นหรือแนวแบ่งเป็นช่องไว้

(5) “ช่องเดินรถประจำทาง” หมายความว่า ช่องเดินรถที่กำหนดให้เป็นช่องเดินรถสำหรับรถโดยสารประจำทางหรือรถบรรทุกคนโดยสารประเภทที่ผู้บัญชาการตำรวจแห่งชาติกำหนด

(6) “ทางเดินรถทางเดียว” หมายความว่า ทางเดินรถใดที่กำหนดให้ผู้ขับรถขับไปในทิศทางเดียวกันตามเวลาที่หัวหน้าเจ้าพนักงานจราจร*กำหนด

(7) “ขอบทาง” หมายความว่า แนวริมของทางเดินรถ

(8) “ไหล่ทาง” หมายความว่า พื้นที่ที่ต่อจากขอบทางออกไปทางด้านข้างซึ่งยังมิได้จัดทำเป็นทางเท้า

(9) “ทางร่วมทางแยก” หมายความว่า พื้นที่ที่ทางเดินรถตั้งแต่สองสายตัดผ่านกัน รวมบรรจบกัน หรือติดกัน

(10) “วงเวียน” หมายความว่า ทางเดินรถที่กำหนดให้รถเดินรอบเครื่องหมายจราจรหรือสิ่งที่สร้างขึ้นในทางร่วมทางแยก

(11) “ทางเท้า” หมายความว่า พื้นที่ที่ทำไว้สำหรับคนเดินซึ่งอยู่ข้างใดข้างหนึ่งของทาง หรือทั้งสองข้างของทาง หรือส่วนที่อยู่ชิดขอบทางซึ่งใช้เป็นที่สำหรับคนเดิน

(12) “ทางข้าม” หมายความว่า พื้นที่ที่ทำไว้สำหรับให้คนเดินเท้าข้ามทางโดยทำเครื่องหมายเป็นเส้นหรือแนวหรือตอกหมุดไว้บนทาง และให้หมายความรวมถึงพื้นที่ที่ทำให้คนเดินเท้าข้ามไม่ว่าในระดับใต้หรือเหนือพื้นดินด้วย

(13) “เขตปลอดภัย” หมายความว่า พื้นที่ในทางเดินรถที่มีเครื่องหมายแสดงไว้ให้เห็นได้ชัดเจนทุกเวลา สำหรับให้คนเดินเท้าที่ข้ามทางหยุดรอหรือให้คนที่ขึ้นหรือลงรถหยุดรอก่อนจะข้ามทางต่อไป

(14) “ที่คับขัน” หมายความว่า ทางที่มีการจราจรพลุกพล่านหรือมีสิ่งกีดขวาง หรือในที่ซึ่งมองเห็นหรือทราบได้ล่วงหน้าว่าอาจเกิดอันตรายหรือความเสียหายแก่รถหรือคนได้ง่าย

(15) “รถ” หมายความว่า ยานพาหนะทางบกทุกชนิด เว้นแต่รถไฟและรถราง

(16) “รถยนต์” หมายความว่า รถที่มีล้อตั้งแต่สามล้อและเดินด้วยกำลังเครื่องยนต์ กำลังไฟฟ้าหรือพลังงานอื่น ยกเว้นรถที่เดินบนราง

(17) “รถจักรยานยนต์” หมายความว่า รถที่เดินด้วยกำลังเครื่องยนต์ กำลังไฟฟ้า หรือพลังงานอื่น และมีล้อไม่เกินสองล้อ ถ้ามีพ่วงข้างมีล้อเพิ่มอีกไม่เกินหนึ่งล้อ

(18) “รถจักรยาน” หมายความว่า รถที่เดินด้วยกำลังของผู้ขับขี่ที่มิใช่เป็นการลากเข็น

(19) “รถฉุกเฉิน” หมายความว่า รถดับเพลิงและรถพยาบาลของราชการบริหารส่วนกลาง ราชการบริหารส่วนภูมิภาค และราชการบริหารส่วนท้องถิ่น หรือรถอื่นที่ได้รับอนุญาตจากผู้บัญชาการตำรวจแห่งชาติให้ใช้ไฟสัญญาณแสงวับวาบ หรือให้ใช้เสียงสัญญาณไซเรนหรือเสียงสัญญาณอย่างอื่นตามที่จะกำหนดให้

(20) “รถบรรทุก” หมายความว่า รถยนต์ที่สร้างขึ้นเพื่อใช้บรรทุกสิ่งของหรือสัตว์

(21) “รถบรรทุกคนโดยสาร” หมายความว่า รถยนต์ที่สร้างขึ้นเพื่อใช้บรรทุกคนโดยสารเกินเจ็ดคน

(22) “รถโรงเรียน” หมายความว่า รถบรรทุกคนโดยสารที่โรงเรียนใช้รับส่งนักเรียน

(23) “รถโดยสารประจำทาง” หมายความว่า รถบรรทุกคนโดยสารที่เดินตามทางที่กำหนดไว้ และเรียกเก็บค่าโดยสารเป็นรายคนตามอัตราที่วางไว้เป็นระยะทางหรือตลอดทาง

(24) “รถแท็กซี่” หมายความว่า รถยนต์ที่ใช้รับจ้างบรรทุกคนโดยสารไม่เกินเจ็ดคน

(25) “รถลากจูง” หมายความว่า รถยนต์ที่สร้างขึ้นเพื่อใช้สำหรับลากจูงรถหรือเครื่องมือการเกษตรหรือเครื่องมือการก่อสร้าง โดยตัวรถนั้นเองมิได้ใช้สำหรับบรรทุกคนหรือสิ่งของ

(26) “รถพ่วง” หมายความว่า รถที่เคลื่อนที่ไปโดยใช้รถอื่นลากจูง

(27) “มาตรแท็กซี่” หมายความว่า เครื่องแสดงอัตราและค่าโดยสารของรถแท็กซี่ โดยอาศัยเกณฑ์ระยะทางหรือเวลาการใช้รถแท็กซี่ หรือโดยอาศัยทั้งระยะทางและเวลาการใช้รถแท็กซี่

(28) “ผู้ขับขี่” หมายความว่า ผู้ขับรถ ผู้ประจำเครื่องอุปกรณ์การขนส่งตามกฎหมายว่าด้วยการขนส่ง ผู้ลากเข็นยานพาหนะ

(29) “คนเดินเท้า” หมายความว่า คนเดินและให้รวมตลอดถึงผู้ใช้เก้าอี้ล้อสำหรับคนพิการหรือรถสำหรับเด็กด้วย

(30) “เจ้าของรถ” หมายความรวมถึงผู้มีรถไว้ในครอบครองด้วย

(31) “ผู้เก็บค่าโดยสาร” หมายความว่า ผู้ซึ่งรับผิดชอบในการเก็บค่าโดยสาร และผู้ดูแลคนโดยสารที่อยู่ประจำรถบรรทุกคนโดยสาร

(32) “ใบอนุญาตขับขี่” หมายความว่า ใบอนุญาตขับรถตามกฎหมายว่าด้วยรถยนต์ และใบอนุญาตเป็นผู้ขับรถตามกฎหมายว่าด้วยการขนส่งทางบก

(33) “สัญญาณจราจร” หมายความว่า สัญญาณใด ๆ ไม่ว่าจะแสดงด้วยธง ไฟ ไฟฟ้า มือ แขน เสียงนกหวีด หรือด้วยวิธีอื่นใด สำหรับให้ผู้ขับขี่ คนเดินเท้า หรือคนที่จูง ขี่ หรือไล่ต้อนสัตว์ ปฏิบัติตามสัญญาณนั้น

(34) “เครื่องหมายจราจร” หมายความว่า เครื่องหมายใด ๆ ที่ได้ติดตั้งไว้ หรือทำให้ปรากฏในทางสำหรับให้ผู้ขับขี่ คนเดินเท้า หรือคนที่จูง ขี่ หรือไล่ต้อนสัตว์ ปฏิบัติตามเครื่องหมายนั้น

(35) “รัฐมนตรี” หมายความว่า รัฐมนตรีผู้รักษาการตามพระราชบัญญัตินี้

(36) (ยกเลิก)

(37) “เจ้าพนักงานจราจร” หมายความว่า หัวหน้าเจ้าพนักงานจราจรและข้าราชการตำรวจซึ่งดำรงตำแหน่ง ดังต่อไปนี้

(ก) รองผู้กำกับการจราจร

(ข) สารวัตรจราจร

(ค) รองสารวัตรจราจร

(ง) ผู้บังคับหมู่งานจราจร

(จ) รองผู้บังคับหมู่งานจราจร

(ฉ) ข้าราชการตำรวจตำแหน่งอื่นซึ่งหัวหน้าเจ้าพนักงานจราจรแต่งตั้งให้ปฏิบัติหน้าที่ควบคุมการจราจร

(38) “หัวหน้าเจ้าพนักงานจราจร” หมายความว่า ผู้บัญชาการตำรวจแห่งชาติ หรือข้าราชการตำรวจซึ่งดำรงตำแหน่งไม่ต่ำกว่ารองผู้กำกับการหรือเทียบเท่าที่ได้รับแต่งตั้งจากผู้บัญชาการตำรวจแห่งชาติ

(39) “อาสาจราจร” หมายความว่า ผู้ซึ่งผ่านการอบรมตามหลักสูตรอาสาจราจร และได้รับแต่งตั้งจากผู้บัญชาการตำรวจแห่งชาติให้ช่วยเหลือการปฏิบัติหน้าที่ของเจ้าพนักงานจราจร*ตามที่บัญญัติไว้ในพระราชบัญญัตินี้

(40) “ผู้ตรวจการ” หมายความว่า ผู้ตรวจการตามกฎหมายว่าด้วยการขนส่งทางบกและผู้ตรวจการตามกฎหมายว่าด้วยรถยนต์

[คำว่า “ผู้บัญชาการตำรวจแห่งชาติ” แก้ไขเพิ่มเติมโดยมาตรา 4 แห่งพระราชบัญญัติจราจรทางบก (ฉบับที่ 11) พ.ศ. 2559]",4
พระราชบัญญัติจราจรทางบก พ.ศ. 2522,มาตรา 4/1,-,-,-,-,-,เพื่อประโยชน์ในการควบคุมดูแลและบังคับใช้กฎหมายให้เป็นไปตามบทบัญญัติแห่งพระราชบัญญัตินี้หรือตามกฎหมายอื่นอันเกี่ยวกับการจราจร ให้สำนักงานตำรวจแห่งชาติและกรมการขนส่งทางบกจัดให้มีข้อมูลทางอิเล็กทรอนิกส์เกี่ยวกับประวัติและการกระทำความผิดตามกฎหมายของผู้ได้รับใบอนุญาตขับขี่ ข้อมูลทะเบียนรถ และข้อมูลอื่นที่เกี่ยวข้อง รวมทั้งให้มีการประสานข้อมูลดังกล่าว  ทั้งนี้ ตามระเบียบที่ผู้บัญชาการตำรวจแห่งชาติและอธิบดีกรมการขนส่งทางบกร่วมกันกำหนด,5
พระราชบัญญัติจราจรทางบก พ.ศ. 2522,มาตรา 5,-,-,-,-,-,"ให้นายกรัฐมนตรีรักษาการตามพระราชบัญญัตินี้ และมีอำนาจออกกฎกระทรวงเพื่อปฏิบัติการตามพระราชบัญญัตินี้

กฎกระทรวงนั้น เมื่อได้ประกาศในราชกิจจานุเบกษาแล้ว ให้ใช้บังคับได้
",6
พระราชบัญญัติจราจรทางบก พ.ศ. 2522,มาตรา 6,-,(1)  การใช้รถ,(1)   ลักษณะของรถที่ใช้ในทาง,-,-,"ห้ามมิให้ผู้ใดนำรถที่มีสภาพไม่มั่นคงแข็งแรง หรืออาจเกิดอันตราย หรืออาจทำให้เสื่อมเสียสุขภาพอนามัยแก่ผู้ใช้ คนโดยสารหรือประชาชนมาใช้ในทางเดินรถ

รถที่ใช้ในทางเดินรถ ผู้ขับขี่ต้องจัดให้มีเครื่องยนต์ เครื่องอุปกรณ์และหรือส่วนควบที่ครบถ้วนตามกฎหมายว่าด้วยรถยนต์ กฎหมายว่าด้วยการขนส่ง กฎหมายว่าด้วยล้อเลื่อน กฎหมายว่าด้วยรถลาก หรือกฎหมายว่าด้วยรถจ้าง และใช้การได้ดี

สภาพของรถที่อาจทำให้เสื่อมเสียสุขภาพอนามัยตามวรรคหนึ่งและวิธีการทดสอบ ให้เป็นไปตามหลักเกณฑ์และวิธีการที่กำหนดในกฎกระทรวง",7
พระราชบัญญัติจราจรทางบก พ.ศ. 2522,มาตรา 7,-,(1)  การใช้รถ,(1)   ลักษณะของรถที่ใช้ในทาง,-,-,ห้ามมิให้ผู้ใดนำรถที่มิได้ติดแผ่นป้ายเลขทะเบียน แผ่นป้ายเครื่องหมายเลขทะเบียนหรือป้ายประจำรถ ตามกฎหมายว่าด้วยรถยนต์ กฎหมายว่าด้วยการขนส่ง กฎหมายว่าด้วยล้อเลื่อน กฎหมายว่าด้วยรถลาก หรือกฎหมายว่าด้วยรถจ้าง มาใช้ในทางเดินรถ,8
พระราชบัญญัติจราจรทางบก พ.ศ. 2522,มาตรา 8,-,(1)  การใช้รถ,(1)   ลักษณะของรถที่ใช้ในทาง,-,-,"ห้ามมิให้ผู้ใดนำรถที่ผู้ขับขี่ไม่อาจแลเห็นทางพอแก่ความปลอดภัยมาใช้ในทางเดินรถ

เพื่อประโยชน์แห่งมาตรานี้ ให้ผู้บัญชาการตำรวจแห่งชาติมีอำนาจออกระเบียบเกี่ยวกับการใช้วัสดุกรองแสงกับรถที่นำมาใช้ในทางเดินรถได้ โดยประกาศในราชกิจจานุเบกษา

[คำว่า “ผู้บัญชาการตำรวจแห่งชาติ” แก้ไขเพิ่มเติมโดยมาตรา 4 แห่งพระราชบัญญัติจราจรทางบก (ฉบับที่ 11) พ.ศ. 2559]",9
พระราชบัญญัติจราจรทางบก พ.ศ. 2522,มาตรา 9,-,(1)  การใช้รถ,(1)   ลักษณะของรถที่ใช้ในทาง,-,-,ห้ามมิให้ผู้ใดนำรถที่เกิดเสียงอื้ออึงหรือมีสิ่งลากถูไปบนทางเดินรถมาใช้ในทางเดินรถ,10
